"OBJECTID","ProjectID","CapproID","Department","Category","Name","Status","Manager","Phone","Email","BondAmount","District 1","District 2","District 3","District 4","District 5","District 6","District 7","District 8","District 9","District 10","District 11","District 12","District 13","District 14","City Wide","LastModDt","DsgnAwardC","DsgnCmpltC","CnstAwardC","CnstStartC","CnstCmpltC","District","Legend"
"110","24805","PB12S453","PBW","Street Reconstruction","Lazy River Dr From Wagon Wheels Trl To E. Red Bird Ln","Under Award - Construction","Lap Trinh","214-948-4258","lap.trinh@dallascityhall.com","$609,400.00","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:38 AM","09/25/2013","05/11/2015","08/26/2015","03/21/2016","12/31/2016","3","Public Works - Street"
"111","24563","PB12S205","PBW","Alley Petitions","Alley between Manana Drive and Park Lane from Larga Drive to Marsh Lane","Under Award - Design","Dhiyaa Tohme","214-948-4001","wilkensengmann@dallascityhall.com","$391,800.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:48:23 AM","01/22/2014","08/30/2016","12/14/2016","02/01/2017","06/15/2018","6","Public Works - Alley"
"112","24752","PB12S400","PBW","Intergovernmental Partnership Projects","Denton Drive Phase 1 (Walnut Hill to Royal)","Under Award - Construction","Anshi Jin","214-948-4253","anshi.jin@dalalscityhall.com","$5,992,300.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Sep 06 06:01:03 PM",,"07/31/2016","01/28/2015","10/30/2016","11/28/2017","6","Public Works - Other"
"113","24776","PB12S424","PBW","Street Petitions","Palacios Ave from Ottawa Rd to Canada Dr","Under Award - Design","Dhiyaa Tohme","214-948-4001","wilkens.engmann@dallascityhall.com","$471,400.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","01/22/2014","08/30/2016","12/14/2016","02/01/2017","06/15/2018","6","Public Works - Street"
"114","24682","PB12S324","PBW","Street Resurfacing","Ambassador Row from Regal Row to Dividend Drive","Under Award - Construction","Mathew Ittoop",,,"$714,600.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:44:17 AM",,,"04/13/2016","06/30/2016","02/28/2017","6","Public Works - Street"
"115","24737","PB12S383","PBW","Street Resurfacing","Southwell Rd from Harry Hines Blvd to Denton Dr","Remaining to-be-awarded","Mathew Ittoop",,,"$62,600.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 30 10:07:11 AM",,,"04/23/2014","04/12/2017","12/30/2017","6","Public Works - Street"
"116","24704","PB12S347","PBW","Street Resurfacing","Governor's Row from Regal Row to Empire Central","Remaining to-be-awarded","Mathew Ittoop",,,"$421,800.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 10 03:43:52 PM",,,"04/12/2017","06/01/2017","12/30/2017","6","Public Works - Street"
"117","24947","PB12S572","PBW","Street Resurfacing","Walmsley Ave from Montclair Ave to Willomet Ave","On Hold","Mathew Ittoop",,,"$222,200.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 30 10:10:54 AM",,,"04/08/2015","06/01/2015","02/28/2017","6","Public Works - Street"
"118","24835","PB12S608","PBW","Target Neighborhood","Mican Dr from Schofield Dr to end of pavement","Under Award - Design","Horacio Pizzarello","214-948-5350","horacio.pizzarello@dallascityhall.com","$497,000.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 29 11:08:52 AM","09/25/2013","06/17/2016","09/28/2016","11/14/2016","11/13/2017","6","Public Works - Other"
"119","24774","PB12S422","PBW","Street Petitions","Longhorn Street from Bar X St to Ferguson Rd","Under Award","Soon Wong","214-948-4001","wilkens.engmann@dallascityhall.com","$832,700.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 29 02:11:39 PM","09/25/2013","08/30/2015","08/24/2016","11/01/2016","10/30/2017","7","Public Works - Street"
"120","24758","PB12S406","PBW","Complete Street","Grand from R.B. Cullum to Good Latimer","Under Award - Construction","Dhiyaa Tohme","214-948-4263","dhiyaa.tohme@dallascityhall.com","$2,449,000.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 29 10:56:15 AM","12/11/2013","02/27/2015","05/27/2015","04/01/2016","12/31/2017","7","Public Works - Street"
"121","24748","PB12S396","PBW","Complete Street","Lamar (S) from IH 45 to Hatcher","Under Award - Construction","Dhiyaa Tohme","214-948-4263","dhiyaa.tohme@dallascityhall.com","$4,898,000.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 29 10:56:15 AM","06/12/2013","02/27/2015","05/27/2015","09/28/2015","12/31/2017","7","Public Works - Street"
"122","24789","PB12S437","PBW","Street Reconstruction","JB Jackson from Grand to MLK","Under Award - Construction","Dhiyaa Tohme","214-948-4263","dhiyaa.tohme@dallascityhall.com","$1,095,300.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","12/11/2013","02/27/2015","05/27/2015","10/20/2016","03/31/2018","7","Public Works - Street"
"123","24788","PB12S436","PBW","Street Reconstruction","Imperial St from Bertrand Ave To Lagow St","Under Award - Design","Matt Stevens","214-948-4163","matthew.stevens@dallascityhall.com","$584,200.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","03/10/2014","08/15/2017","12/10/2017","03/15/2018","12/31/2018","7","Public Works - Street"
"347","25096","PBPRP640","PBW","Thoroughfares","Riverfront Blvd from Parkhouse St to Union Pacific","Under Award - Construction","Duane Smith",,,,"false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2015 Oct 27 01:36:53 PM",,,"03/26/2014",,"05/30/2016",,"Public Works - Other"
"124","24792","PB12S440","PBW","Street Reconstruction","Montie St from Scyene Rd To Junction St","Under Award - Design","Matt Stevens","214-948-4163","matthew.stevens@dallascityhall.com","$860,400.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","03/26/2014","08/15/2017","12/10/2017","03/15/2018","12/31/2018","7","Public Works - Street"
"125","24791","PB12S439","PBW","Street Reconstruction","Mingo Street from Dolphin to Dead End","Under Award - Design","Matt Stevens","214-948-4163","matthew.stevens@dallascityhall.com","$304,300.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","02/26/2014","08/15/2017","12/10/2017","03/15/2018","12/31/2018","7","Public Works - Street"
"126","24780","PB12S428","PBW","Street Reconstruction","Beall Street from Dolphin to Dead End","Under Award - Design","Matt Stevens","214-948-4163","matthew.stevens@dallascityhall.com","$365,100.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","02/26/2014","08/15/2017","12/10/2017","03/15/2018","12/31/2018","7","Public Works - Street"
"127","24838","PB12S611","PBW","Thoroughfares","Highland Road from Ferguson to north of the entrance to Primrose at Highland (1500' to NE)","Under Award - Design","Horacio Pizzarello","214-948-5350","horacio.pizzarello@dallascityhall.com","$1,224,500.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Aug 29 11:08:52 AM","05/27/2015","10/01/2016","02/11/2017","04/12/2017","02/11/2018","9","Public Works - Other"
"128","24932","PB12S557","PBW","Street Resurfacing","Shiloh Rd from Blyth Dr to Lockhart Ave","Under Award - Construction","Mathew Ittoop",,,"$348,400.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Jun 22 02:46:05 PM",,,"04/13/2016","06/30/2016","02/28/2017","7","Public Works - Street"
"273","24852","PB12S477","PBW","Street Resurfacing","Channel from Royal to Talisman","On Hold","Mathew Ittoop",,,"$343,700.00","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","2016 Aug 30 10:08:16 AM",,,"04/08/2015","06/02/2014","02/27/2018","13","Public Works - Street"
"129","24567","PB12S209","PBW","Alley Petitions","Bluffman Drive, Castle Hills Drive & Lovingood Dr. - Lovingood Dr. - Loud Dr.","Under Award - Design","Matt Stevens","214-948-4163","matthew.stevens@dallascityhall.com","$226,500.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jul 15 06:35:41 PM","12/11/2013","07/31/2015","08/24/2016","11/24/2016","09/30/2017","8","Public Works - Alley"
"130","24772","PB12S420","PBW","Street Petitions","Fernheath Ln from South Beltline Rd. to Dead End","Under Award - Design","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$1,285,700.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 29 11:04:38 AM","12/11/2013","09/30/2016","11/09/2016","01/31/2017","04/30/2018","8","Public Works - Street"
"131","24770","PB12S418","PBW","Street Petitions","Crenshaw Dr from Cushing Dr to Old Seagoville Rd","Under Award - Design","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$857,200.00","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:56:15 AM","10/22/2013","09/30/2016","11/09/2016","01/31/2017","04/30/2018","5","Public Works - Street"
"132","24597","PB12S239","PBW","Alley Reconstruction","Coach Light Rd (7204-7260) And Pecan Ridge Dr (7322-7346) A6160 ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ","Under Award - Construction","Jaime Gomez","214-948-4617","jaime.gomez@dallascityhall.com","$316,100.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 12 11:16:20 AM","10/23/2013","03/03/2015","05/27/2015","08/24/2015","09/30/2016","8","Public Works - Alley"
"133","24829","PB12S602","PBW","Target Neighborhood","Gooch St from S Lancaster Rd To Tracy Rd Block","Under Award - Design","Liong So","214-948-4570","lion.so@dallascityhall.com","$1,285,700.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 08 04:49:14 PM","12/11/2013","10/31/2016","01/06/2017","03/20/2017","12/31/2017","8","Public Works - Other"
"134","24785","PB12S433","PBW","Street Reconstruction","Gentle River Dr from end of pavement to Hidden Trail Dr","Under Award - Construction","Ashok Patel","214-948-4124","ashok.patel@dallascityhall.com","$456,400.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","09/25/2013","06/01/2015","09/22/2015","04/04/2016","06/09/2017","8","Public Works - Street"
"135","24787","PB12S435","PBW","Street Reconstruction","Highland Hills Dr from Simpson Stuart Rd to Bonnie View Rd","Under Award - Construction","Ashok Patel","214-948-4124","ashok.patel@dallascityhall.com","$1,257,600.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","true","2016 Aug 29 11:04:39 AM","09/25/2013","06/01/2015","09/22/2015","04/04/2016","06/09/2017","8,Citywide","Public Works - Street"
"136","24797","PB12S445","PBW","Street Reconstruction","Sweet Sue Ln from Hidden Valley Dr to Camp Wisdom (E) Rd","Under Award - Construction","Ashok Patel","214-948-4124","ashok.patel@dallascityhall.com","$974,800.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 29 11:04:38 AM","09/25/2013","06/01/2015","09/22/2015","04/04/2016","08/09/2017","8","Public Works - Street"
"137","24887","PB12S512","PBW","Street Resurfacing","Ivywood Dr from Woodspan Dr to Woodshire Dr","Under Award - Construction","Mathew Ittoop",,,"$274,100.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:40:20 PM",,,"04/13/2016","06/30/2016","02/28/2017","8","Public Works - Street"
"138","24917","PB12S542","PBW","Street Resurfacing","Racine Dr from Kirnwood to Cleardale","Remaining to-be-awarded","Mathew Ittoop",,,"$150,400.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:44:11 PM",,,"04/12/2017","06/01/2017","12/30/2017","8","Public Works - Street"
"139","24876","PB12S501","PBW","Street Resurfacing","Goldwood Dr from Polk to WoodspanGoldwood Dr from Polk to Woodspan","Under Award - Construction","Mathew Ittoop",,,"$304,300.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:39:26 PM",,,"04/13/2016","06/30/2016","02/28/2017","8","Public Works - Street"
"140","24956","PB12S582","PBW","Street Resurfacing","Woodshire Dr from Kirnwood Dr to Clearwood Dr","Under Award - Construction","Mathew Ittoop",,,"$304,300.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:49:01 PM",,,"04/13/2016","06/30/2016","02/28/2017","8","Public Works - Street"
"141","24929","PB12S554","PBW","Street Resurfacing","Sebring Dr from Tioga St to Soft Wind Dr","Remaining to-be-awarded","Mathew Ittoop",,,"$176,500.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:45:29 PM",,,"04/12/2017","06/01/2017","12/30/2017","8","Public Works - Street"
"142","24891","PB12S516","PBW","Street Resurfacing","Kirnwood Dr from Leigh Ann Dr to Woodspan Dr","Under Award - Construction","Mathew Ittoop",,,"$228,800.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:40:20 PM",,,"04/13/2016","06/30/2016","02/28/2017","8","Public Works - Street"
"143","24945","PB12S570","PBW","Street Resurfacing","Tumbling Creek Trl from Leaning Oaks St to Alta Mesa Dr","Remaining to-be-awarded","Mathew Ittoop",,,"$152,100.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:47:44 PM",,,"04/12/2017","06/01/2017","12/30/2017","8","Public Works - Street"
"144","24622","PB12S263","PBW","Alley Reconstruction","Ivywood Dr (807-955) And Havenwood Dr (806-948) A6501","Under Award - Construction","Jaime Gomez","214-948-4617","jaime.gomez@dallascityhall.com","$263,700.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 29 10:44:17 AM","10/23/2013","03/03/2015","05/27/2015","08/24/2015","09/27/2016","8","Public Works - Alley"
"145","24624","PB12S265","PBW","Alley Reconstruction","Kirnwood Dr (306-426) And Ryanridge Dr (7729-7769) A6542","Under Award - Construction","Jaime Gomez","214-948-4617","jaime.gomez@dallascityhall.com","$157,700.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 29 10:44:17 AM","10/23/2013","03/03/2015","05/27/2015","08/24/2015","09/27/2016","8","Public Works - Alley"
"146","24882","PB12S507","PBW","Street Resurfacing","Havenwood Dr from Woodshire Dr to Woodspan Dr","Under Award - Construction","Mathew Ittoop",,,"$273,600.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:39:47 PM",,,"04/13/2016","06/30/2016","02/28/2017","8","Public Works - Street"
"147","24907","PB12S532","PBW","Street Resurfacing","Olusta Dr from Oklaunion Dr to Murdock Rd","Remaining to-be-awarded","Mathew Ittoop",,,"$205,100.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Jun 22 02:43:31 PM",,,"04/12/2017","06/01/2017","12/30/2017","8","Public Works - Street"
"148","24778","PB12S426","PBW","Street Petitions","Stevens St from Cayuga Dr to Davilla Ave and Davilla Ave from Stevens St to Drake St","Under Award - Design","Dhiyaa Tohme","214-948-4001","wilkens.engmann@dallascityhall.com","$673,500.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","01/22/2014","08/30/2016","12/14/2016","02/01/2017","06/15/2018","9","Public Works - Street"
"149","24706","PB12S349","PBW","Street Resurfacing","Gus Thomasson Rd from Materhorn Dr to Maylee Blvd","On Hold","Mathew Ittoop",,,"$364,100.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Aug 30 09:50:39 AM","01/01/1900",,"04/13/2016","06/30/2016","12/30/2018","9","Public Works - Street"
"150","24730","PB12S374","PBW","Street Resurfacing","Peavy Rd from E. Lake Highlands Dr to Northcliff Dr","Under Award - Construction","Mathew Ittoop",,,"$351,700.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Jun 22 02:30:27 PM",,,"04/13/2016","06/30/2016","02/28/2017","9","Public Works - Street"
"151","24693","PB12S335","PBW","Street Resurfacing","Easton Rd from Northwest Highway to concrete east of Bon Aire Dr","Under Award - Construction","Mathew Ittoop",,,"$710,700.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Jun 22 02:25:53 PM","01/01/1900",,"04/13/2016","06/30/2016","02/28/2017","9","Public Works - Street"
"152","24707","PB12S350","PBW","Street Resurfacing","Gus Thomasson Rd from Zacha Dr to Desdemona Dr","On Hold","Mathew Ittoop",,,"$401,600.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Aug 30 09:51:33 AM","01/01/1900",,"04/08/2015","06/01/2015","12/30/2018","9","Public Works - Street"
"153","24692","PB12S334","PBW","Street Resurfacing","Easton Rd from Garland Rd to Gus Thomasson (Zacha Dr)","On Hold","Mathew Ittoop",,,"$451,800.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Aug 30 09:50:39 AM","01/01/1900",,"04/08/2015","06/01/2015","12/30/2018","9","Public Works - Street"
"154","24871","PB12S496","PBW","Street Resurfacing","Emerald Isle Dr from Garland Rd to park entrance (1000-1100 blocks)","On Hold","Mathew Ittoop",,,"$115,400.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Aug 30 10:10:54 AM",,,"04/08/2015","06/02/2014","02/27/2018","9","Public Works - Street"
"155","24889","PB12S514","PBW","Street Resurfacing","Kenwood Ave from Sperry St to Frontier Ln","Under Award - Construction","Mathew Ittoop",,,"$140,200.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Jun 22 02:40:20 PM",,,"04/13/2016","06/30/2016","02/28/2017","9","Public Works - Street"
"156","24893","PB12S518","PBW","Street Resurfacing","Lanewood Cir from Neering Dr to Jupiter Rd","Under Award - Construction","Mathew Ittoop",,,"$236,800.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Jun 22 02:40:34 PM",,,"04/13/2016","06/30/2016","02/28/2017","9","Public Works - Street"
"157","24906","PB12S531","PBW","Street Resurfacing","Ocalla Ave from Garland Rd to San Fernando Way","Remaining to-be-awarded","Mathew Ittoop",,,"$88,100.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Jun 22 02:42:38 PM",,,"04/12/2017","06/01/2017","12/30/2017","9","Public Works - Street"
"158","24925","PB12S550","PBW","Street Resurfacing","Rupley Ln from Sunland St to Jupiter Rd","Under Award - Construction","Mathew Ittoop",,,"$153,600.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Aug 08 11:45:05 AM",,,"04/13/2017","06/30/2016","02/28/2017","9","Public Works - Street"
"159","24935","PB12S560","PBW","Street Resurfacing","Sondra Dr from Hillside Dr to Wendover Rd","Under Award - Construction","Mathew Ittoop",,,"$234,200.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Jun 22 02:46:27 PM",,,"04/13/2016","06/30/2016","02/28/2017","9","Public Works - Street"
"160","24938","PB12S563","PBW","Street Resurfacing","Strayhorn Dr from Barnes Bridge Rd to Plummer Dr","Under Award - Construction","Mathew Ittoop",,,"$193,700.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Aug 08 04:48:00 PM",,,"04/13/2016","06/30/2016","02/27/2017","9","Public Works - Street"
"161","24946","PB12S571","PBW","Street Resurfacing","Velasco Ave from Abrams Rd to Pearson Dr","Under Award - Construction","Mathew Ittoop",,,"$233,200.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Jun 22 02:48:11 PM",,,"04/13/2016","06/30/2016","02/28/2017","9","Public Works - Street"
"162","24948","PB12S574","PBW","Street Resurfacing","West Shore Dr from Tokalon Dr to Meadow Lake Ave","Under Award - Construction","Mathew Ittoop",,,"$273,300.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Jun 22 02:48:11 PM",,,"04/13/2016","06/30/2016","02/28/2017","9","Public Works - Street"
"163","24566","PB12S208","PBW","Alley Petitions","Alley southwest and parallel to Shoreview Road from Forest Trail to Nimrod Trail","Under Award - Design","Dhiyaa Tohme","214-948-4001","wilkens.engmann@dallascityhall.com","$189,800.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 29 10:49:29 AM","01/22/2014","08/30/2016","12/14/2016","02/01/2017","06/15/2018","10","Public Works - Alley"
"164","24754","PB12S402","PBW","Intergovernmental Partnership Projects","LBJ at Skillman Interchange","Under Award - Design","Anshi Jin","214-948-4253","anshi.jin@dallascityhall.com","$1,714,300.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 29 10:56:15 AM","06/26/2013","11/30/2016",,,,"10","Public Works - Other"
"165","24698","PB12S340","PBW","Street Resurfacing","Ferndale Rd from Linkwood to Longmont","Under Award - Construction","Mathew Ittoop",,,"$66,700.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Jun 22 02:25:53 PM","01/01/1900",,"04/13/2016","06/30/2016","02/28/2017","10","Public Works - Street"
"166","24786","PB12S434","PBW","Street Reconstruction","Heatherdale from Dove Meadow to Abrams","Under Award - Construction","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$693,700.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 29 11:04:39 AM","09/25/2013","12/10/2014","05/13/2015","06/18/2015","12/31/2016","10","Public Works - Street"
"167","24826","PB12S474","PBW","Street Resurfacing","Campanella Dr from Rialto Dr To TI Blvd","Remaining to-be-awarded","Mathew Ittoop",,,"$245,800.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Jul 13 12:45:16 PM",,,"04/12/2017","06/01/2017","12/30/2017","10","Public Works - Street"
"169","24856","PB12S481","PBW","Street Resurfacing","Clearwater from Boundbrook to Woodbrook","Remaining to-be-awarded","Mathew Ittoop",,,"$130,500.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Jul 13 12:45:16 PM",,,"04/12/2017","06/01/2017","12/30/2017","10","Public Works - Street"
"170","24583","PB12S225","PBW","Alley Reconstruction","Buxhill Dr (9406-9734) And Shady Dale Ln (9607-9735) A8390","Under Award - Construction","Lap Trinh","214-948-4258","lap.trinh@dallascityhall.com","$244,500.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 10 11:54:59 AM","09/25/2013","05/14/2015","08/26/2015","09/19/2016","11/30/2016","10","Public Works - Alley"
"171","24593","PB12S235","PBW","Alley Reconstruction","Chiswell Rd (9707-9747) And Lanshire Dr (9718-9738) A8384","Under Award - Construction","Lap Trinh","214-948-4258","lap.trinh@dallascityhall.com","$85,700.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 10 11:56:07 AM","09/25/2013","05/14/2015","08/26/2015","09/26/2016","11/30/2016","10","Public Works - Alley"
"172","24652","PB12S293","PBW","Alley Reconstruction","Overwood Rd (9406-9536) And Parkford Dr (9407-9529) A8357","Under Award - Construction","Lap Trinh","214-948-4258","lap.trinh@dallascityhall.com","$241,400.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 29 10:44:17 AM","09/25/2013","05/14/2015","08/26/2015","07/06/2016","12/31/2016","10","Public Works - Alley"
"173","24582","PB12S224","PBW","Alley Reconstruction","Buxhill Dr (9405-9735) And Lanshire Dr (9408-9636) A8389","Under Award - Construction","Lap Trinh","214-948-4258","lap.trinh@dallascityhall.com","$310,400.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 10 11:54:39 AM","09/25/2013","05/14/2015","08/26/2015","08/22/2016","11/30/2016","10","Public Works - Alley"
"174","24783","PB12S431","PBW","Street Reconstruction","Chandler Dr from Carthage Ln to Carthage Ln 12900 to 13100","Under Award - Construction","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$1,095,300.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 29 11:04:39 AM","09/25/2013","12/10/2014","05/13/2015","06/18/2015","12/31/2016","10","Public Works - Street"
"175","24782","PB12S430","PBW","Street Reconstruction","Carthage Ln from Chandler Dr to Buckingham Rd (13300 block)","Under Award - Construction","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$317,600.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Aug 29 11:04:39 AM","09/25/2013","12/10/2014","05/13/2015","06/18/2015","12/31/2016","10","Public Works - Street"
"176","24912","PB12S537","PBW","Street Resurfacing","Parkshire, Lizshire, Sanshire, Danashire, Debshire, Clayshire, Pegshire","Remaining to-be-awarded","Mathew Ittoop",,,"$371,200.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Jun 22 02:43:31 PM",,,"04/12/2017","06/01/2017","12/30/2017","10","Public Works - Street"
"177","24699","PB12S341","PBW","Street Resurfacing","Ferndale Rd from Shoreview to NW Highway","Under Award - Construction","Mathew Ittoop",,,"$91,500.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Sep 06 11:45:07 AM","01/01/1900",,"04/13/2016","06/30/2016","02/28/2017","10","Public Works - Street"
"178","24756","PB12S404","PBW","Intergovernmental Partnership Projects","Spring Valley Rd from Coit Rd to Goldmark sidewalk and pedestrian improvements","Under Award - Design","Aniswarie Kanamazina",,,"$153,100.00","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","2016 Sep 06 11:45:07 AM","04/01/1906","01/29/2016","08/28/1916","10/17/2016","07/28/2017","11","Public Works - Other"
"179","24724","PB12S367","PBW","Street Resurfacing","Meandering Way from Birchwood Dr to Spring Valley Rd","Under Award - Construction","Mathew Ittoop",,,"$207,400.00","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","2016 Jun 28 05:56:10 PM",,,"04/13/2016","06/30/2016","02/28/2017","11","Public Works - Street"
"180","24702","PB12S344","PBW","Street Resurfacing","Forest Ln from Preston Haven Dr to High Forest Dr","Under Award - Construction","Mathew Ittoop",,,"$273,800.00","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","2016 Jun 22 02:26:23 PM","01/01/1900",,"04/13/2016","06/30/2016","02/28/2017","11","Public Works - Street"
"181","24725","PB12S368","PBW","Street Resurfacing","Meandering Way from Spring Valley Rd to Belt Line Rd","Under Award - Construction","Mathew Ittoop",,,"$654,300.00","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","2016 Jun 22 02:29:40 PM",,,"04/13/2016","06/30/2016","02/28/2017","11","Public Works - Street"
"182","24637","PB12S278","PBW","Alley Reconstruction","Lavendale Ave (6120-6338) And Royal Ln (6121-6339) A8951","Under Award - Design","Marco Bravo","214-948-5350",,"$265,900.00","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","2016 Aug 29 10:44:17 AM","09/25/2013","08/22/2016","12/14/2016","01/16/2017","03/30/2018","11","Public Works - Alley"
"183","24636","PB12S277","PBW","Alley Reconstruction","Lavendale Ave (6111-6339) And Azalea Ln (6118-6338) A8948","Under Award - Design","Marco Bravo","214-948-5350",,"$292,400.00","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","2016 Aug 29 10:44:17 AM","09/25/2013","08/22/2016","12/14/2016","01/16/2017","03/30/2018","11","Public Works - Alley"
"184","24575","PB12S217","PBW","Alley Reconstruction","Azalea Ln (6121-6339) And Royalton Dr (6142-6342) A8946","Under Award - Design","Marco Bravo","214-948-5350",,"$253,900.00","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","2016 Aug 12 01:52:26 PM","09/25/2013","08/22/2016","12/14/2016","01/16/2017","03/30/2018","11","Public Works - Alley"
